StopID,StopDesc,Nearest_In,x,y,Bench,Shelter,routes,Direction,Pole_Locat,Sidewalk,Trans_P,landmarks,trashcans,LATITUDE,LONGITUDE
"00040",12th St & Davidson St,CALDWELL & DAVIDSON,145364.00000000000,54346.00000000000,,,"4",inbound,rear facing back of curb,sidewalk,transfer point,,0.00000000000,35.22942900000,-80.82969300000
"00120",Airport Dr & Stonewall Jackson,STONEWALL JACKSON HOME & SENTRY POST,142412.89999999999,53505.00000000000,,,"235, 60",outbound,forward facing back of curb,sidewalk,,,0.00000000000,35.20479100000,-80.92795000000
"00126",Airport Dr & Ashley Cir,ASHLEY & ASHLEY,142380.79999999999,53620.20000000000,,,"235, 60",inbound,forward facing back of curb,sidewalk,,,0.00000000000,35.20794000000,-80.92909800000
"00127",Airport Dr & Wilson Air Center,ASHLEY & ASHLEY,142385.79999999999,53657.50000000000,,,"235, 60",outbound,forward facing back of curb,sidewalk,,,0.00000000000,35.20896700000,-80.92895600000
"00140",Airport Dr & Sentry Post Rd,STONEWALL JACKSON HOME & SENTRY POST,142411.50000000000,53501.80000000000,,,"235, 60",inbound,forward facing edge of pavement,,,,0.00000000000,35.20470200000,-80.92799500000
"00160",Central Ave & Reddman Rd,BELLSOUTH & EASTLAND MALL,147722.10000000001,53431.70000000000,Bench,,"221, 9",inbound,forward facing back of sidewalk,sidewalk,,,0.00000000000,35.20548000000,-80.75019900000
"00170",Albemarle Rd & Jenkins Dr,JENKINS & FARM POND,147921.70000000001,53350.10000000000,,Shelter,"221, 40x, 46x, 9",inbound,forward facing back of sidewalk,sidewalk,,,1.00000000000,35.20333400000,-80.74347100000
"00180",Albemarle Rd & Executive Cente,JENKINS & FARM POND,147932.29999999999,53341.60000000000,,Shelter,"221, 40x, 46x, 9",outbound,forward facing back of curb,sidewalk,,,0.00000000000,35.20310600000,-80.74311100000
"00183",Wachovia CIC -Entrance 1A,WACHOVIA & WACHOVIA 2,147124.70000000001,57383.40000000000,,,"50",not applicable,other,sidewalk,,,0.00000000000,35.31375300000,-80.77255700000
"00200",Graham St & Equipment Dr,EQUIPMENT & CANNON,146086.50000000000,56161.60000000000,,,"22",inbound,forward facing back of curb,,,,1.00000000000,35.27967100000,-80.80660900000
